Infinitive,проговори́ть
Zaliznyak Class,4b
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,проговори́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,проговорённый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,проговори́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,проговори́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,проговорю́
2nd Sing,проговори́шь
3rd Sing,проговори́т
1st Pl,проговори́м
2nd Pl,проговори́те
3rd Pl,проговоря́т
Past M,проговори́л
Past F,проговори́ла
Past N,проговори́ло
Past PL,проговори́ли
Imp S,проговори́
Imp PL,проговори́те
