Infinitive,прока́шляться
Zaliznyak Class,1a
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,прока́шлявшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,прока́шлявшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,прока́шляюсь
2nd Sing,прока́шляешься
3rd Sing,прока́шляется
1st Pl,прока́шляемся
2nd Pl,прока́шляетесь
3rd Pl,прока́шляются
Past M,прока́шлялся
Past F,прока́шлялась
Past N,прока́шлялось
Past PL,прока́шлялись
Imp S,прока́шляйся
Imp PL,прока́шляйтесь
