Infinitive,прояви́ть
Zaliznyak Class,4c
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,прояви́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,проя́вленный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,прояви́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,прояви́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,проявлю́
2nd Sing,проя́вишь
3rd Sing,проя́вит
1st Pl,проя́вим
2nd Pl,проя́вите
3rd Pl,проя́вят
Past M,прояви́л
Past F,прояви́ла
Past N,прояви́ло
Past PL,прояви́ли
Imp S,прояви́
Imp PL,прояви́те
