Infinitive,проплы́ть
Zaliznyak Class,16b/c
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,проплы́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,проплы́в
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,проплы́вши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,проплыву́
2nd Sing,проплывёшь
3rd Sing,проплывёт
1st Pl,проплывём
2nd Pl,проплывёте
3rd Pl,проплыву́т
Past M,проплы́л
Past F,проплыла́
Past N,проплы́ло
Past PL,проплы́ли
Imp S,проплыви́
Imp PL,проплыви́те
