Infinitive,просле́живаться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,просле́живающийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,просле́живавшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,просле́живаясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,просле́живавшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,просле́живаюсь
2nd Sing,просле́живаешься
3rd Sing,просле́живается
1st Pl,просле́живаемся
2nd Pl,просле́живаетесь
3rd Pl,просле́живаются
Past M,просле́живался
Past F,просле́живалась
Past N,просле́живалось
Past PL,просле́живались
Imp S,просле́живайся
Imp PL,просле́живайтесь
