Infinitive,пронзи́ть
Zaliznyak Class,4b
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,пронзи́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,пронзённый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,пронзи́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,пронзи́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,пронжу́
2nd Sing,пронзи́шь
3rd Sing,пронзи́т
1st Pl,пронзи́м
2nd Pl,пронзи́те
3rd Pl,пронзя́т
Past M,пронзи́л
Past F,пронзи́ла
Past N,пронзи́ло
Past PL,пронзи́ли
Imp S,пронзи́
Imp PL,пронзи́те
