Infinitive,прекрати́ть
Zaliznyak Class,4b(-щ-)
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,прекрати́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,прекращённый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,прекрати́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,прекрати́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,прекращу́
2nd Sing,прекрати́шь
3rd Sing,прекрати́т
1st Pl,прекрати́м
2nd Pl,прекрати́те
3rd Pl,прекратя́т
Past M,прекрати́л
Past F,прекрати́ла
Past N,прекрати́ло
Past PL,прекрати́ли
Imp S,прекрати́
Imp PL,прекрати́те
