Infinitive,промо́лвить
Zaliznyak Class,4a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,промо́лвивший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,промо́лвленный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,промо́лвив
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,промо́лвивши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,промо́лвлю
2nd Sing,промо́лвишь
3rd Sing,промо́лвит
1st Pl,промо́лвим
2nd Pl,промо́лвите
3rd Pl,промо́лвят
Past M,промо́лвил
Past F,промо́лвила
Past N,промо́лвило
Past PL,промо́лвили
Imp S,промо́лви
Imp PL,промо́лвите
