Infinitive,приказа́ть
Zaliznyak Class,6c
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,приказа́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,прика́занный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,приказа́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,приказа́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,прикажу́
2nd Sing,прика́жешь
3rd Sing,прика́жет
1st Pl,прика́жем
2nd Pl,прика́жете
3rd Pl,прика́жут
Past M,приказа́л
Past F,приказа́ла
Past N,приказа́ло
Past PL,приказа́ли
Imp S,прикажи́
Imp PL,прикажи́те
