Infinitive,проскрипе́ть
Zaliznyak Class,5b
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,проскрипе́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,проскрипе́в
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,проскрипе́вши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,проскриплю́
2nd Sing,проскрипи́шь
3rd Sing,проскрипи́т
1st Pl,проскрипи́м
2nd Pl,проскрипи́те
3rd Pl,проскрипя́т
Past M,проскрипе́л
Past F,проскрипе́ла
Past N,проскрипе́ло
Past PL,проскрипе́ли
Imp S,проскрипи́
Imp PL,проскрипи́те
