Infinitive,приде́лать
Zaliznyak Class,1a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,приде́лавший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,приде́ланный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,приде́лав
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,приде́лавши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,приде́лаю
2nd Sing,приде́лаешь
3rd Sing,приде́лает
1st Pl,приде́лаем
2nd Pl,приде́лаете
3rd Pl,приде́лают
Past M,приде́лал
Past F,приде́лала
Past N,приде́лало
Past PL,приде́лали
Imp S,приде́лай
Imp PL,приде́лайте
