Infinitive,приня́ть
Zaliznyak Class,14c/c①
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,приня́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,при́нятый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,приня́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,приня́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,приму́
2nd Sing,при́мешь
3rd Sing,при́мет
1st Pl,при́мем
2nd Pl,при́мете
3rd Pl,при́мут
Past M,при́нял
Past F,приняла́
Past N,при́няло
Past PL,при́няли
Imp S,прими́
Imp PL,прими́те
