Infinitive,предава́ться
Zaliznyak Class,13b
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,предаю́щийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,предава́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,предава́ясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,предава́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,предаю́сь
2nd Sing,предаёшься
3rd Sing,предаётся
1st Pl,предаёмся
2nd Pl,предаётесь
3rd Pl,предаю́тся
Past M,предава́лся
Past F,предава́лась
Past N,предава́лось
Past PL,предава́лись
Imp S,предава́йся
Imp PL,предава́йтесь
