Infinitive,приде́рживаться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,приде́рживающийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,приде́рживавшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,приде́рживаясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,приде́рживавшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,приде́рживаюсь
2nd Sing,приде́рживаешься
3rd Sing,приде́рживается
1st Pl,приде́рживаемся
2nd Pl,приде́рживаетесь
3rd Pl,приде́рживаются
Past M,приде́рживался
Past F,приде́рживалась
Past N,приде́рживалось
Past PL,приде́рживались
Imp S,приде́рживайся
Imp PL,приде́рживайтесь
