Infinitive,прислу́живать
Zaliznyak Class,1a
Aspect,imperfective
Transitive,False
Reflexive,False
PART:0:Participle Text,прислу́живающий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,прислу́живавший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,прислу́живая
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,прислу́живав
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,прислу́живавши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,прислу́живаю
2nd Sing,прислу́живаешь
3rd Sing,прислу́живает
1st Pl,прислу́живаем
2nd Pl,прислу́живаете
3rd Pl,прислу́живают
Past M,прислу́живал
Past F,прислу́живала
Past N,прислу́живало
Past PL,прислу́живали
Imp S,прислу́живай
Imp PL,прислу́живайте
