Infinitive,предлага́ться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,предлага́ющийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,предлага́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,предлага́ясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,предлага́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,предлага́юсь
2nd Sing,предлага́ешься
3rd Sing,предлага́ется
1st Pl,предлага́емся
2nd Pl,предлага́етесь
3rd Pl,предлага́ются
Past M,предлага́лся
Past F,предлага́лась
Past N,предлага́лось
Past PL,предлага́лись
Imp S,предлага́йся
Imp PL,предлага́йтесь
