Infinitive,продира́ться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,продира́ющийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,продира́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,продира́ясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,продира́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,продира́юсь
2nd Sing,продира́ешься
3rd Sing,продира́ется
1st Pl,продира́емся
2nd Pl,продира́етесь
3rd Pl,продира́ются
Past M,продира́лся
Past F,продира́лась
Past N,продира́лось
Past PL,продира́лись
Imp S,продира́йся
Imp PL,продира́йтесь
