Infinitive,прокати́ть
Zaliznyak Class,4c
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,прокати́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,прока́ченный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,прокати́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,прокати́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,прокачу́
2nd Sing,прока́тишь
3rd Sing,прока́тит
1st Pl,прока́тим
2nd Pl,прока́тите
3rd Pl,прока́тят
Past M,прокати́л
Past F,прокати́ла
Past N,прокати́ло
Past PL,прокати́ли
Imp S,прокати́
Imp PL,прокати́те
