Infinitive,приши́ть
Zaliznyak Class,11b
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,приши́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,приши́тый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,приши́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,приши́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,пришью́
2nd Sing,пришьёшь
3rd Sing,пришьёт
1st Pl,пришьём
2nd Pl,пришьёте
3rd Pl,пришью́т
Past M,приши́л
Past F,приши́ла
Past N,приши́ло
Past PL,приши́ли
Imp S,прише́й
Imp PL,прише́йте
