Infinitive,присва́ивать
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,False
PART:0:Participle Text,присва́ивающий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,присва́ивавший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,присва́иваемый
PART:2:Participle Type,passive
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,присва́ивая
PART:3:Participle Type,adverbial
PART:3:Participle Tense,present
PART:3:Participle Long or Short,long
PART:4:Participle Text,присва́ивав
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,short
PART:5:Participle Text,присва́ивавши
PART:5:Participle Type,adverbial
PART:5:Participle Tense,past
PART:5:Participle Long or Short,long
1st Sing,присва́иваю
2nd Sing,присва́иваешь
3rd Sing,присва́ивает
1st Pl,присва́иваем
2nd Pl,присва́иваете
3rd Pl,присва́ивают
Past M,присва́ивал
Past F,присва́ивала
Past N,присва́ивало
Past PL,присва́ивали
Imp S,присва́ивай
Imp PL,присва́ивайте
