Infinitive,придержа́ть
Zaliznyak Class,5c
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,придержа́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,приде́ржанный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,придержа́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,придержа́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,придержу́
2nd Sing,приде́ржишь
3rd Sing,приде́ржит
1st Pl,приде́ржим
2nd Pl,приде́ржите
3rd Pl,приде́ржат
Past M,придержа́л
Past F,придержа́ла
Past N,придержа́ло
Past PL,придержа́ли
Imp S,придержи́
Imp PL,придержи́те
