Infinitive,прони́кнуться
Zaliznyak Class,3°a[⑥]
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,прони́кшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,short
PART:1:Participle Text,прони́кнувшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,прони́кшись
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,прони́кнувшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,прони́кнусь
2nd Sing,прони́кнешься
3rd Sing,прони́кнется
1st Pl,прони́кнемся
2nd Pl,прони́кнетесь
3rd Pl,прони́кнутся
Past M,прони́кся
Past F,прони́клась
Past N,прони́клось
Past PL,прони́клись
Imp S,прони́кнись
Imp PL,прони́книтесь
