Infinitive,причи́слить
Zaliznyak Class,4a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,причи́сливший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,причи́сленный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,причи́слив
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,причи́сливши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,причи́слю
2nd Sing,причи́слишь
3rd Sing,причи́слит
1st Pl,причи́слим
2nd Pl,причи́слите
3rd Pl,причи́слят
Past M,причи́слил
Past F,причи́слила
Past N,причи́слило
Past PL,причи́слили
Imp S,причи́сли
Imp PL,причи́слите
