Infinitive,припу́хнуть
Zaliznyak Class,3°a
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,припу́хший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,припу́хши
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,припу́хну
2nd Sing,припу́хнешь
3rd Sing,припу́хнет
1st Pl,припу́хнем
2nd Pl,припу́хнете
3rd Pl,припу́хнут
Past M,припу́х
Past F,припу́хла
Past N,припу́хло
Past PL,припу́хли
Imp S,припу́хни
Imp PL,припу́хните
