Infinitive,приста́ть
Zaliznyak Class,15a
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,приста́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,приста́в
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,приста́вши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,приста́ну
2nd Sing,приста́нешь
3rd Sing,приста́нет
1st Pl,приста́нем
2nd Pl,приста́нете
3rd Pl,приста́нут
Past M,приста́л
Past F,приста́ла
Past N,приста́ло
Past PL,приста́ли
Imp S,приста́нь
Imp PL,приста́ньте
