Infinitive,пропита́ть
Zaliznyak Class,1a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,пропита́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,пропи́танный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,пропита́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,пропита́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,пропита́ю
2nd Sing,пропита́ешь
3rd Sing,пропита́ет
1st Pl,пропита́ем
2nd Pl,пропита́ете
3rd Pl,пропита́ют
Past M,пропита́л
Past F,пропита́ла
Past N,пропита́ло
Past PL,пропита́ли
Imp S,пропита́й
Imp PL,пропита́йте
