Infinitive,промолча́ть
Zaliznyak Class,5b
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,промолча́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,промолча́в
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,промолча́вши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,промолчу́
2nd Sing,промолчи́шь
3rd Sing,промолчи́т
1st Pl,промолчи́м
2nd Pl,промолчи́те
3rd Pl,промолча́т
Past M,промолча́л
Past F,промолча́ла
Past N,промолча́ло
Past PL,промолча́ли
Imp S,промолчи́
Imp PL,промолчи́те
