Infinitive,приобща́ться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,приобща́ющийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,приобща́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,приобща́ясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,приобща́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,приобща́юсь
2nd Sing,приобща́ешься
3rd Sing,приобща́ется
1st Pl,приобща́емся
2nd Pl,приобща́етесь
3rd Pl,приобща́ются
Past M,приобща́лся
Past F,приобща́лась
Past N,приобща́лось
Past PL,приобща́лись
Imp S,приобща́йся
Imp PL,приобща́йтесь
