Infinitive,промя́млить
Zaliznyak Class,4a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,промя́мливший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,промя́мленный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,промя́млив
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,промя́мливши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,промя́млю
2nd Sing,промя́млишь
3rd Sing,промя́млит
1st Pl,промя́млим
2nd Pl,промя́млите
3rd Pl,промя́млят
Past M,промя́млил
Past F,промя́млила
Past N,промя́млило
Past PL,промя́млили
Imp S,промя́мли
Imp PL,промя́млите
