Infinitive,присе́сть
Zaliznyak Class,7a
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,присе́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,присе́в
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,присе́вши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,прися́ду
2nd Sing,прися́дешь
3rd Sing,прися́дет
1st Pl,прися́дем
2nd Pl,прися́дете
3rd Pl,прися́дут
Past M,присе́л
Past F,присе́ла
Past N,присе́ло
Past PL,присе́ли
Imp S,прися́дь
Imp PL,прися́дьте
