Infinitive,привали́ться
Zaliznyak Class,4c
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,привали́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,привали́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,привалю́сь
2nd Sing,прива́лишься
3rd Sing,прива́лится
1st Pl,прива́лимся
2nd Pl,прива́литесь
3rd Pl,прива́лятся
Past M,привали́лся
Past F,привали́лась
Past N,привали́лось
Past PL,привали́лись
Imp S,привали́сь
Imp PL,привали́тесь
