Infinitive,прикрути́ть
Zaliznyak Class,4c
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,прикрути́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,прикру́ченный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,прикрути́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,прикрути́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,прикручу́
2nd Sing,прикру́тишь
3rd Sing,прикру́тит
1st Pl,прикру́тим
2nd Pl,прикру́тите
3rd Pl,прикру́тят
Past M,прикрути́л
Past F,прикрути́ла
Past N,прикрути́ло
Past PL,прикрути́ли
Imp S,прикрути́
Imp PL,прикрути́те
