Infinitive,происходи́ть
Zaliznyak Class,4c
Aspect,imperfective
Transitive,False
Reflexive,False
PART:0:Participle Text,происходя́щий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,происходи́вший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,происходя́
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,происходи́в
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,происходи́вши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,происхожу́
2nd Sing,происхо́дишь
3rd Sing,происхо́дит
1st Pl,происхо́дим
2nd Pl,происхо́дите
3rd Pl,происхо́дят
Past M,происходи́л
Past F,происходи́ла
Past N,происходи́ло
Past PL,происходи́ли
Imp S,происходи́
Imp PL,происходи́те
