Infinitive,прое́хаться
Zaliznyak Class,irreg-a
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,прое́хавшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,прое́хавшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,прое́дусь
2nd Sing,прое́дешься
3rd Sing,прое́дется
1st Pl,прое́демся
2nd Pl,прое́детесь
3rd Pl,прое́дутся
Past M,прое́хался
Past F,прое́халась
Past N,прое́халось
Past PL,прое́хались
Imp S,проезжа́йся
Imp PL,проезжа́йтесь
