Infinitive,превосходи́ть
Zaliznyak Class,4c
Aspect,imperfective
Transitive,True
Reflexive,False
PART:0:Participle Text,превосходя́щий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,превосходи́вший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,превосходи́мый
PART:2:Participle Type,passive
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,превосходя́
PART:3:Participle Type,adverbial
PART:3:Participle Tense,present
PART:3:Participle Long or Short,long
PART:4:Participle Text,превосходи́в
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,short
PART:5:Participle Text,превосходи́вши
PART:5:Participle Type,adverbial
PART:5:Participle Tense,past
PART:5:Participle Long or Short,long
1st Sing,превосхожу́
2nd Sing,превосхо́дишь
3rd Sing,превосхо́дит
1st Pl,превосхо́дим
2nd Pl,превосхо́дите
3rd Pl,превосхо́дят
Past M,превосходи́л
Past F,превосходи́ла
Past N,превосходи́ло
Past PL,превосходи́ли
Imp S,превосходи́
Imp PL,превосходи́те
