Infinitive,прохрипе́ть
Zaliznyak Class,5b
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,прохрипе́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,прохрипе́в
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,прохрипе́вши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,прохриплю́
2nd Sing,прохрипи́шь
3rd Sing,прохрипи́т
1st Pl,прохрипи́м
2nd Pl,прохрипи́те
3rd Pl,прохрипя́т
Past M,прохрипе́л
Past F,прохрипе́ла
Past N,прохрипе́ло
Past PL,прохрипе́ли
Imp S,прохрипи́
Imp PL,прохрипи́те
