Infinitive,пристрели́ть
Zaliznyak Class,4c
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,пристрели́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,пристре́ленный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,пристрели́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,пристрели́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,пристрелю́
2nd Sing,пристре́лишь
3rd Sing,пристре́лит
1st Pl,пристре́лим
2nd Pl,пристре́лите
3rd Pl,пристре́лят
Past M,пристрели́л
Past F,пристрели́ла
Past N,пристрели́ло
Past PL,пристрели́ли
Imp S,пристрели́
Imp PL,пристрели́те
