Infinitive,прое́хать
Zaliznyak Class,irreg-a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,прое́хавший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,прое́хав
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,прое́хавши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,прое́ду
2nd Sing,прое́дешь
3rd Sing,прое́дет
1st Pl,прое́дем
2nd Pl,прое́дете
3rd Pl,прое́дут
Past M,прое́хал
Past F,прое́хала
Past N,прое́хало
Past PL,прое́хали
Imp S,проезжа́й
Imp PL,проезжа́йте
