Infinitive,прира́внивать
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,False
PART:0:Participle Text,прира́внивающий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,прира́внивавший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,прира́вниваемый
PART:2:Participle Type,passive
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,прира́внивая
PART:3:Participle Type,adverbial
PART:3:Participle Tense,present
PART:3:Participle Long or Short,long
PART:4:Participle Text,прира́внивав
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,short
PART:5:Participle Text,прира́внивавши
PART:5:Participle Type,adverbial
PART:5:Participle Tense,past
PART:5:Participle Long or Short,long
1st Sing,прира́вниваю
2nd Sing,прира́вниваешь
3rd Sing,прира́внивает
1st Pl,прира́вниваем
2nd Pl,прира́вниваете
3rd Pl,прира́внивают
Past M,прира́внивал
Past F,прира́внивала
Past N,прира́внивало
Past PL,прира́внивали
Imp S,прира́внивай
Imp PL,прира́внивайте
