Infinitive,промо́кнуть
Zaliznyak Class,3°a
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,промо́кший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,промо́кши
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,промо́кну
2nd Sing,промо́кнешь
3rd Sing,промо́кнет
1st Pl,промо́кнем
2nd Pl,промо́кнете
3rd Pl,промо́кнут
Past M,промо́к
Past F,промо́кла
Past N,промо́кло
Past PL,промо́кли
Imp S,промо́кни
Imp PL,промо́кните
