Infinitive,превали́ровать
Zaliznyak Class,2a
Aspect,imperfective
Transitive,False
Reflexive,False
PART:0:Participle Text,превали́рующий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,превали́ровавший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,превали́руя
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,превали́ровав
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,превали́ровавши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,превали́рую
2nd Sing,превали́руешь
3rd Sing,превали́рует
1st Pl,превали́руем
2nd Pl,превали́руете
3rd Pl,превали́руют
Past M,превали́ровал
Past F,превали́ровала
Past N,превали́ровало
Past PL,превали́ровали
Imp S,превали́руй
Imp PL,превали́руйте
