Infinitive,прибавля́ться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,прибавля́ющийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,прибавля́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,прибавля́ясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,прибавля́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,прибавля́юсь
2nd Sing,прибавля́ешься
3rd Sing,прибавля́ется
1st Pl,прибавля́емся
2nd Pl,прибавля́етесь
3rd Pl,прибавля́ются
Past M,прибавля́лся
Past F,прибавля́лась
Past N,прибавля́лось
Past PL,прибавля́лись
Imp S,прибавля́йся
Imp PL,прибавля́йтесь
