Infinitive,продержа́ться
Zaliznyak Class,5c
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,продержа́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,продержа́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,продержу́сь
2nd Sing,проде́ржишься
3rd Sing,проде́ржится
1st Pl,проде́ржимся
2nd Pl,проде́ржитесь
3rd Pl,проде́ржатся
Past M,продержа́лся
Past F,продержа́лась
Past N,продержа́лось
Past PL,продержа́лись
Imp S,продержи́сь
Imp PL,продержи́тесь
