Infinitive,просвисте́ть
Zaliznyak Class,5b
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,просвисте́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,просвисте́в
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,просвисте́вши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,просвищу́
2nd Sing,просвисти́шь
3rd Sing,просвисти́т
1st Pl,просвисти́м
2nd Pl,просвисти́те
3rd Pl,просвистя́т
Past M,просвисте́л
Past F,просвисте́ла
Past N,просвисте́ло
Past PL,просвисте́ли
Imp S,просвисти́
Imp PL,просвисти́те
