Infinitive,приколо́ть
Zaliznyak Class,10c
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,приколо́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,прико́лотый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,приколо́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,приколо́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,приколю́
2nd Sing,прико́лешь
3rd Sing,прико́лет
1st Pl,прико́лем
2nd Pl,прико́лете
3rd Pl,прико́лют
Past M,приколо́л
Past F,приколо́ла
Past N,приколо́ло
Past PL,приколо́ли
Imp S,приколи́
Imp PL,приколи́те
