Infinitive,променя́ть
Zaliznyak Class,1a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,променя́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,проме́нянный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,променя́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,променя́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,променя́ю
2nd Sing,променя́ешь
3rd Sing,променя́ет
1st Pl,променя́ем
2nd Pl,променя́ете
3rd Pl,променя́ют
Past M,променя́л
Past F,променя́ла
Past N,променя́ло
Past PL,променя́ли
Imp S,променя́й
Imp PL,променя́йте
