Infinitive,пролепета́ть
Zaliznyak Class,6c
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,пролепета́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,пролепета́в
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,пролепета́вши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,пролепечу́
2nd Sing,пролепе́чешь
3rd Sing,пролепе́чет
1st Pl,пролепе́чем
2nd Pl,пролепе́чете
3rd Pl,пролепе́чут
Past M,пролепета́л
Past F,пролепета́ла
Past N,пролепета́ло
Past PL,пролепета́ли
Imp S,пролепечи́
Imp PL,пролепечи́те
