Infinitive,приподня́ть
Zaliznyak Class,14c/c[①]
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,приподня́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,припо́днятый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,приподня́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,приподня́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,приподниму́
2nd Sing,приподни́мешь
3rd Sing,приподни́мет
1st Pl,приподни́мем
2nd Pl,приподни́мете
3rd Pl,приподни́мут
Past M,припо́днял
Past F,приподняла́
Past N,припо́дняло
Past PL,припо́дняли
Imp S,приподними́
Imp PL,приподними́те
