Infinitive,прогляну́ть
Zaliznyak Class,3c
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,прогляну́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,прогляну́в
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,прогляну́вши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,прогляну́
2nd Sing,прогля́нешь
3rd Sing,прогля́нет
1st Pl,прогля́нем
2nd Pl,прогля́нете
3rd Pl,прогля́нут
Past M,прогляну́л
Past F,прогляну́ла
Past N,прогляну́ло
Past PL,прогляну́ли
Imp S,прогляни́
Imp PL,прогляни́те
