Infinitive,придви́нуться
Zaliznyak Class,3a
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,придви́нувшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,придви́нувшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,придви́нусь
2nd Sing,придви́нешься
3rd Sing,придви́нется
1st Pl,придви́немся
2nd Pl,придви́нетесь
3rd Pl,придви́нутся
Past M,придви́нулся
Past F,придви́нулась
Past N,придви́нулось
Past PL,придви́нулись
Imp S,придви́нься
Imp PL,придви́ньтесь
