Infinitive,придра́ться
Zaliznyak Class,6°b/c''
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,придра́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,придра́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,придеру́сь
2nd Sing,придерёшься
3rd Sing,придерётся
1st Pl,придерёмся
2nd Pl,придерётесь
3rd Pl,придеру́тся
Past M,придра́лся
Past F,придрала́сь
Past N,придрало́сь
Past PL,придрали́сь
Imp S,придери́сь
Imp PL,придери́тесь
