Infinitive,предостере́чь
Zaliznyak Class,8b/b
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,предостерёгший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,предостережённый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,предостерёгши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,предостерегу́
2nd Sing,предостережёшь
3rd Sing,предостережёт
1st Pl,предостережём
2nd Pl,предостережёте
3rd Pl,предостерегу́т
Past M,предостерёг
Past F,предостерегла́
Past N,предостерегло́
Past PL,предостерегли́
Imp S,предостереги́
Imp PL,предостереги́те
