Infinitive,предугада́ть
Zaliznyak Class,1a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,предугада́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,предуга́данный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,предугада́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,предугада́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,предугада́ю
2nd Sing,предугада́ешь
3rd Sing,предугада́ет
1st Pl,предугада́ем
2nd Pl,предугада́ете
3rd Pl,предугада́ют
Past M,предугада́л
Past F,предугада́ла
Past N,предугада́ло
Past PL,предугада́ли
Imp S,предугада́й
Imp PL,предугада́йте
