Infinitive,проноси́ться
Zaliznyak Class,4c
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,пронося́щийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,проноси́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,пронося́сь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,проноси́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,проношу́сь
2nd Sing,проно́сишься
3rd Sing,проно́сится
1st Pl,проно́симся
2nd Pl,проно́ситесь
3rd Pl,проно́сятся
Past M,проноси́лся
Past F,проноси́лась
Past N,проноси́лось
Past PL,проноси́лись
Imp S,проноси́сь
Imp PL,проноси́тесь
