Infinitive,причмо́кнуть
Zaliznyak Class,3a
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,причмо́кнувший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,причмо́кнув
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,причмо́кнувши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,причмо́кну
2nd Sing,причмо́кнешь
3rd Sing,причмо́кнет
1st Pl,причмо́кнем
2nd Pl,причмо́кнете
3rd Pl,причмо́кнут
Past M,причмо́кнул
Past F,причмо́кнула
Past N,причмо́кнуло
Past PL,причмо́кнули
Imp S,причмо́кни
Imp PL,причмо́кните
