Infinitive,проинформи́ровать
Zaliznyak Class,2a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,проинформи́ровавший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,проинформи́рованный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,проинформи́ровав
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,проинформи́ровавши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,проинформи́рую
2nd Sing,проинформи́руешь
3rd Sing,проинформи́рует
1st Pl,проинформи́руем
2nd Pl,проинформи́руете
3rd Pl,проинформи́руют
Past M,проинформи́ровал
Past F,проинформи́ровала
Past N,проинформи́ровало
Past PL,проинформи́ровали
Imp S,проинформи́руй
Imp PL,проинформи́руйте
