Infinitive,прибедня́ться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,прибедня́ющийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,прибедня́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,прибедня́ясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,прибедня́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,прибедня́юсь
2nd Sing,прибедня́ешься
3rd Sing,прибедня́ется
1st Pl,прибедня́емся
2nd Pl,прибедня́етесь
3rd Pl,прибедня́ются
Past M,прибедня́лся
Past F,прибедня́лась
Past N,прибедня́лось
Past PL,прибедня́лись
Imp S,прибедня́йся
Imp PL,прибедня́йтесь
