Infinitive,прочу́вствовать
Zaliznyak Class,2a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,прочу́вствовавший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,прочу́вствованный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,прочу́вствовав
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,прочу́вствовавши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,прочу́вствую
2nd Sing,прочу́вствуешь
3rd Sing,прочу́вствует
1st Pl,прочу́вствуем
2nd Pl,прочу́вствуете
3rd Pl,прочу́вствуют
Past M,прочу́вствовал
Past F,прочу́вствовала
Past N,прочу́вствовало
Past PL,прочу́вствовали
Imp S,прочу́вствуй
Imp PL,прочу́вствуйте
