Infinitive,проши́ть
Zaliznyak Class,11b
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,проши́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,проши́тый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,проши́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,проши́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,прошью́
2nd Sing,прошьёшь
3rd Sing,прошьёт
1st Pl,прошьём
2nd Pl,прошьёте
3rd Pl,прошью́т
Past M,проши́л
Past F,проши́ла
Past N,проши́ло
Past PL,проши́ли
Imp S,проше́й
Imp PL,проше́йте
