Infinitive,простуди́ться
Zaliznyak Class,4c
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,простуди́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,простуди́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,простужу́сь
2nd Sing,просту́дишься
3rd Sing,просту́дится
1st Pl,просту́димся
2nd Pl,просту́дитесь
3rd Pl,просту́дятся
Past M,простуди́лся
Past F,простуди́лась
Past N,простуди́лось
Past PL,простуди́лись
Imp S,простуди́сь
Imp PL,простуди́тесь
