Infinitive,предоста́вить
Zaliznyak Class,4a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,предоста́вивший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,предоста́вленный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,предоста́вив
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,предоста́вивши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,предоста́влю
2nd Sing,предоста́вишь
3rd Sing,предоста́вит
1st Pl,предоста́вим
2nd Pl,предоста́вите
3rd Pl,предоста́вят
Past M,предоста́вил
Past F,предоста́вила
Past N,предоста́вило
Past PL,предоста́вили
Imp S,предоста́вь
Imp PL,предоста́вьте
