Infinitive,прики́нуть
Zaliznyak Class,3a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,прики́нувший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,прики́нутый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,прики́нув
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,прики́нувши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,прики́ну
2nd Sing,прики́нешь
3rd Sing,прики́нет
1st Pl,прики́нем
2nd Pl,прики́нете
3rd Pl,прики́нут
Past M,прики́нул
Past F,прики́нула
Past N,прики́нуло
Past PL,прики́нули
Imp S,прики́нь
Imp PL,прики́ньте
