Infinitive,просипе́ть
Zaliznyak Class,5b
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,просипе́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,просипе́в
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,просипе́вши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,просиплю́
2nd Sing,просипи́шь
3rd Sing,просипи́т
1st Pl,просипи́м
2nd Pl,просипи́те
3rd Pl,просипя́т
Past M,просипе́л
Past F,просипе́ла
Past N,просипе́ло
Past PL,просипе́ли
Imp S,просипи́
Imp PL,просипи́те
