Infinitive,проки́снуть
Zaliznyak Class,3°a
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,проки́сший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,проки́сши
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,проки́сну
2nd Sing,проки́снешь
3rd Sing,проки́снет
1st Pl,проки́снем
2nd Pl,проки́снете
3rd Pl,проки́снут
Past M,проки́с
Past F,проки́сла
Past N,проки́сло
Past PL,проки́сли
Imp S,проки́сни
Imp PL,проки́сните
